nEvt,trueE,nPi0,nPiCh,nShowers,maxShowerLength,maxOpenAngle,nTracks,maxTrackLength,nStubs
6,5.3025,0,2,2,82.8103,0.119091,4,529.501,1
7,1.26808,1,0,2,53.678,0.260196,2,92.2227,3
8,1.31908,0,1,0,0,0,3,161.301,5
9,1.5373,1,1,3,74.1917,0.097853,2,120.578,2
10,0.606124,0,1,2,15.7926,0.189452,0,0,2
11,0.922191,0,1,3,13.4925,0.230049,1,1.71879,2
12,1.58152,0,1,0,0,0,4,237.762,0
13,2.30624,1,1,2,6.68953,0.217706,3,410.693,2
14,1.09495,0,0,1,7.5739,0.090132,4,124.072,9
15,4.30382,1,0,5,56.3982,0.811565,1,355.063,5
16,0.662133,1,0,1,17.1546,0.0596159,3,78.6007,2
17,1.0319,0,1,0,0,0,3,81.5641,1
18,1.33501,0,1,1,4.06579,0.286617,2,328.352,8
19,3.50008,1,1,2,118.138,0.180055,2,126.732,2
20,0.758277,0,0,0,0,0,2,136.135,2
21,1.92811,0,0,1,2.41711,0.252562,2,427.231,5
22,3.47099,0,1,1,4.72107,0.124043,4,506.68,5
23,3.06981,0,2,2,105.646,0.550376,3,128.172,2
24,3.95209,1,0,3,85.3573,0.236558,1,439.888,7
25,1.7546,0,3,3,74.3471,0.499866,4,92.3172,7
26,1.67023,2,0,3,102.357,0.198,2,59.6269,1
27,4.04952,2,2,6,84.4685,0.187585,2,21.2521,11
28,0.556809,0,1,2,5.27692,0.473425,3,29.946,1
29,0.959998,0,0,0,0,0,4,112.127,5
30,2.79856,0,1,4,23.875,0.606414,2,122.85,2
31,1.08305,1,0,2,24.7877,0.217509,1,71.2567,4
32,0.817412,0,1,0,0,0,2,65.0797,0
33,2.72505,0,2,1,10.284,0.27462,5,498.587,5
34,6.38171,0,1,2,103.392,0.115558,4,139.583,1
35,1.11934,1,0,1,1.26819,0.432332,5,72.7381,6
36,1.5239,1,1,2,81.2838,0.301083,3,249.238,4
37,2.71853,0,1,1,59.5917,0.225934,3,51.3074,4
38,2.74127,2,0,1,87.2141,0.127625,2,152.965,2
39,1.20877,0,1,0,0,0,2,74.6107,1
40,1.12145,0,0,1,0.601135,0.548782,2,59.7736,4
41,3.92165,0,3,4,29.484,0.443066,3,355.578,6
42,3.36475,0,4,3,46.6298,0.333127,5,85.6811,6
43,1.78282,0,3,3,30.4436,0.188005,5,38.5866,6
44,1.34085,1,0,1,115.408,0.128169,2,73.7489,2
45,3.3078,1,0,1,61.0245,0.43691,1,193.683,0
46,0.972895,0,1,1,5.05416,0.224995,2,70.6865,2
47,2.09967,0,1,0,0,0,2,390.168,1
48,0.827066,0,1,1,81.4427,0.0289319,2,6.28809,4
49,1.93834,1,1,2,61.4782,0.112143,2,284.066,1
50,1.30075,1,1,2,22.1902,0.347839,0,0,11
51,1.9638,1,1,2,6.06819,0.919493,0,0,2
52,2.23024,6,0,6,45.7857,0.356349,5,237.78,5
53,1.62409,0,2,2,2.33197,0.592226,2,18.6808,4
54,2.64136,1,1,1,9.3737,0.0797729,1,317.256,0
55,3.97499,0,1,0,0,0,5,105.411,4
56,0.896259,0,1,0,0,0,2,51.8846,1
